,d,r,c
0,2,1,0
1,3,0,0
2,4,1,0
3,11,1,0
4,13,0,0
5,17,1,0
6,21,1,0
7,22,1,0
8,28,1,0
9,29,1,0
10,31,1,0
11,33,1,0
12,34,1,0
13,36,0,0
14,42,0,0
15,44,1,0
16,49,1,0
17,51,0,0
18,52,0,0
19,57,0,0
20,58,0,0
21,60,0,0
22,61,0,0
23,62,0,0
24,63,0,0
25,64,0,0
26,65,0,0
27,67,0,0
28,70,0,0
29,71,0,0
30,72,0,0
31,73,0,0
32,75,0,0
33,76,0,0
34,77,0,0
35,78,0,0
36,79,0,0
37,80,0,0
38,85,0,0
39,88,0,0
40,89,0,0
41,91,0,0
42,92,0,0
43,93,0,0
44,94,0,0
45,95,0,0
46,98,0,0
47,99,0,0
48,100,0,0
49,101,0,0
50,103,0,0
51,108,0,0
52,109,0,0
53,112,0,0
54,114,0,0
55,115,0,0
56,116,0,0
57,117,0,0
58,118,0,0
59,119,0,0
60,121,0,0
61,122,0,0
62,123,0,0
63,125,0,0
64,126,0,0
65,127,0,0
66,128,0,0
67,129,0,0
68,131,0,0
69,132,0,0
70,134,0,0
71,135,0,0
72,136,0,0
73,138,0,0
74,141,0,0
75,142,0,0
76,143,0,0
77,144,0,0
78,147,0,0
79,152,0,0
80,156,0,0
81,157,0,0
82,158,0,0
83,159,0,0
84,162,1,0
85,166,0,0
86,167,0,0
87,174,0,0
88,175,0,0
89,183,0,0
90,184,0,0
91,185,0,0
92,186,0,0
93,187,0,0
94,189,0,0
95,190,0,0
96,191,0,0
97,192,0,0
98,193,0,0
99,194,0,0
100,195,0,0
101,197,0,0
102,198,0,0
103,200,0,0
104,201,0,0
105,202,0,0
106,203,0,0
107,204,0,0
108,206,0,0
109,207,0,0
110,208,0,0
111,209,0,0
112,210,0,0
113,213,0,0
114,214,0,0
115,217,0,0
116,218,0,0
117,220,0,0
118,221,0,0
119,223,0,0
120,224,0,0
121,225,0,0
122,226,0,0
123,228,0,0
124,229,0,0
125,230,0,0
126,231,0,0
127,232,0,0
128,233,0,0
129,235,0,0
130,241,0,0
131,242,0,0
132,243,0,0
133,245,0,0
134,248,0,0
135,249,0,0
136,250,0,0
137,251,0,0
138,252,0,0
139,254,0,0
140,255,0,0
141,258,0,0
142,259,0,0
143,260,0,0
144,261,0,0
145,262,0,0
146,263,0,0
147,264,0,0
