0,1,2
191,0,339
191,0,333
191,0,330
191,0,313
191,0,308
191,0,307
191,0,268
191,0,267
191,0,265
191,0,264
191,0,262
191,0,261
191,0,260
191,0,259
191,0,258
191,0,257
191,0,255
191,0,254
191,0,252
191,0,250
191,0,248
191,0,242
191,0,239
191,0,238
191,0,237
191,0,236
191,0,235
191,0,234
191,0,233
191,0,232
191,0,230
191,0,229
191,0,228
191,0,227
191,0,164
191,0,147
191,0,146
191,0,144
191,0,143
191,0,142
191,0,141
191,0,140
191,0,138
191,0,136
191,0,135
191,0,134
191,0,132
191,0,131
191,0,129
191,0,127
191,0,126
191,0,125
191,0,121
191,0,118
191,0,116
191,0,114
191,0,109
191,0,105
191,0,103
191,0,100
191,0,98
191,0,97
191,0,96
191,0,95
191,0,94
191,0,93
191,0,92
191,0,91
191,0,74
191,0,60
191,0,46
191,0,39
191,1,33
191,0,32
191,1,31
191,0,27
191,1,7
190,0,337
190,0,333
190,0,331
190,0,329
190,0,327
190,0,308
190,0,307
190,0,304
190,0,298
190,0,286
190,0,261
190,0,252
190,0,247
190,0,245
190,0,244
190,0,243
190,0,240
190,0,239
190,0,237
190,0,235
190,0,234
190,0,233
190,0,232
190,0,230
190,0,229
190,0,228
190,0,226
190,0,225
190,0,224
190,0,223
190,0,222
190,0,221
190,0,220
190,0,218
190,0,211
190,0,210
190,0,207
190,0,206
190,0,204
190,0,203
190,0,202
190,0,201
190,0,200
190,0,198
190,0,195
190,0,193
190,0,192
190,0,191
190,0,190
190,0,189
190,0,186
190,0,184
190,0,183
190,0,167
190,0,166
190,1,161
190,0,134
190,0,127
190,0,122
190,0,121
190,0,119
190,0,118
190,0,117
190,0,107
190,0,106
190,0,104
190,0,103
190,0,100
190,0,99
190,0,98
190,0,95
190,0,94
190,0,93
190,0,92
190,0,91
190,0,89
190,0,88
190,0,86
190,0,85
190,0,83
190,0,80
190,0,79
190,0,78
190,0,77
190,0,76
190,0,75
190,0,74
190,0,70
190,0,69
190,0,67
190,0,65
190,0,64
190,0,62
190,0,60
190,0,58
190,0,56
190,0,39
190,0,32
190,1,31
190,1,29
190,0,27
190,1,22
190,1,21
190,0,13
190,1,11
190,1,9
190,1,7
189,0,340
189,0,339
189,0,329
189,0,308
189,0,307
189,0,304
189,0,302
189,0,301
189,0,300
189,0,298
189,0,297
189,0,285
189,0,284
189,0,283
189,0,282
189,0,281
189,0,279
189,0,278
189,0,277
189,0,276
189,0,274
189,0,272
189,0,271
189,0,270
189,0,269
189,0,268
189,0,267
189,0,266
189,0,265
189,0,264
189,0,262
189,0,261
189,0,260
189,0,259
189,0,258
189,0,257
189,0,255
189,0,254
189,0,253
189,0,252
189,0,251
189,0,248
189,0,242
189,0,238
189,0,237
189,0,236
189,0,233
189,0,232
189,0,230
189,0,229
189,0,228
189,0,226
189,0,225
189,0,224
189,0,223
189,0,221
189,0,220
189,0,218
189,0,217
189,0,213
189,0,210
189,0,209
189,0,208
189,0,207
189,0,206
189,0,205
189,0,203
189,0,202
189,0,201
189,0,200
189,0,199
189,0,198
189,0,197
189,0,196
189,0,195
189,0,193
189,0,192
189,0,190
189,0,188
189,0,186
189,0,185
189,0,183
189,0,175
189,0,174
189,0,167
189,0,166
189,1,162
189,1,161
189,0,159
189,0,158
189,0,157
189,0,156
189,0,151
189,0,150
189,0,148
189,0,147
189,0,146
189,0,144
189,0,143
189,0,142
189,0,141
189,0,136
189,0,135
189,0,134
189,0,133
189,0,132
189,0,131
189,0,129
189,0,128
189,0,127
189,0,126
189,0,125
189,0,124
189,0,123
189,0,122
189,0,121
189,0,119
189,0,118
189,0,117
189,0,116
189,0,115
189,0,114
189,0,113
189,0,112
189,0,107
189,0,103
189,0,101
189,0,100
189,0,99
189,0,97
189,0,96
189,0,95
189,0,94
189,0,93
189,0,92
189,0,91
189,0,89
189,0,88
189,0,86
189,0,85
189,0,83
189,0,82
189,0,80
189,0,79
189,0,78
189,0,76
189,0,75
189,0,73
189,0,72
189,0,71
189,0,70
189,0,68
189,0,67
189,0,65
189,0,64
189,0,63
189,0,62
189,0,60
189,0,58
